questions_title,questions_optiona,questions_optionb,questions_optionc,questions_optiond,questions_answer
"	If E and G respectively denote energy and
E gravitational constant, then 	  has the dimensions
G of ","	[ M ] [ L?1 ] [ T?1 ]","	[ M ] [ L0 ]  [ T0 ]",   [ M2 ] [ L?2 ] [ T?1 ],"	[ M2 ] [ L?1 ] [ T0 ]",D
"	A capacitor of capacitance ‘C’, is connected across an ac source of voltage V, given by
V=V0 sin?t
The displacement current between the plates of the capacitor, would then be given by :","	Id= cos t? ?C","	Id= sin t?","	Id=V0 ?Csin?t","	Id=V0 ?Ccos?t",D
"	A lens of large focal length and large aperture is best suited as an objective of an astronomical telescope since ","	a large aperture contributes to the quality and visibility of the images","	a large area of the objective ensures better light gathering power.","	a large aperture provides a better resolution.","	Id=V0 ?Ccos?t",D
"	The electron concentration in an n-type semiconductor is the same as hole concentration in a p-type semiconductor.  An external field (electric) is applied across each of them.  Compare the currents in them","	current in p-type > current in n-type","	current in n-type > current in p-type.","	No current will flow in p-type, current will only flow in n-type","	all of the above.",B
"	A body is executing simple harmonic motion with frequency ‘n’, the frequency of its potential energy is :",               2n,"	3n","	4n",current in n-type=current in p-type.,A
"	A small block slides down on a smooth inclined plane, starting from rest at time t=0.  Let Sn be the distance travelled by the block in the interval","	2n+1","	2n?1",2n,"	n",A
"	A small block slides down on a smooth inclined plane, starting from rest at time t=0.  Let Sn be the distance travelled by the block in the interval","	acquire a dipole moment only in the presence of electric field due to displacement of charges.",             acquire a dipole moment only when magnetic field is absent.,"	having a permanent electric dipole moment.","	having zero dipole moment.",C
"	Two charged spherical conductors of radius R1 and R2 are connected by a wire.  Then the ratio of surface charge densities of the spheres (?1/?2) is :","	R1",R2,R3,R6n,A
"	Consider the following statements (A) and (B) and identify the correct answer.","	A zener diode is connected in reverse bias, when used as a voltage regulator","	The potential barrier of p-n junction lies between 0.1 V to 0.3 V.","	(A) and (B) both are incorrect","	(A) is correct and (B) is incorrect.",B
A cup of coffee cools from 908C to 808C in t minutes when the room temperature is 208C.  The time taken by a similar cup of coffee to cool from 808C to 608C at a room temperature same at 208C is :,13t,15t,16t,198t,A
"	A nucleus with mass number 240 breaks into two fragments each of mass number 120, the binding energy per nucleon of unfragmented nuclei is 7.6 MeV while that of fragments is 8.5 MeV.  The total gain in the Binding Energy in the process is :","	9.4 MeV","	804 MeV","	216 MeV","	0.9 MeV",C
"	For a plane electromagnetic wave propagating in x-direction, which one of the following combination gives the correct possible directions for electric field (E) and magnetic field (B) respectively ?","? ? ? ?
(1)	?+ ??j	k, 	j	k","? ? ? ?
(2)	j+ ??k, 	j	k","? ? ? ?
(3)	?+ ?+j	k, 	j	k","? ? ? ?
	j+ +k, j 	k",A
"	The number of photons per second on an average emitted by the source of monochromatic light of wavelength 600 nm, when it delivers the power of 3.3×10?3 watt will be : (h=6.6×10?34 Js)","	1017","	1016",1015,1018,B
"	A particle is released from height S from the surface of the Earth.  At a certain height its kinetic energy is three times its potential energy.  The height from the surface of earth and the speed of the particle at that instant are respectively ",s/2,s/4,s/8,s/9,C
