Quetion,Optiona,optionb,optionc,optiond,Ans
"As you grow older, an injury to your ______ may take longer to ______.",AOM addressing the core problem and are likely to succeed," The Proposed AOM are addressing the core problem that causes obesity.

",AOM addressing the problem superficially," If Obesity reduces, poverty will naturally reduce, since obesity causes poverty",C
"In a 500 m race, P and Q have speeds in the ratio of 3 : 4. Q starts the race when P has already covered 140 m. 
What is the distance between P and Q (in m) when P wins the race?", (i) is grammatically incorrect and (ii) is unambiguous, (i) is grammatically correct and (ii) is unambiguous," (i) is grammatically correct and (ii) is ambiguous

", (i) is grammatically incorrect and (ii) is ambiguous,C
"Three bells P, Q and R are rung periodically in a school. P is rung every 20 minutes, Q is rung every 30 minutes and R is rung every 50 minutes. If all the three bells are rung at 12:00 PM, when will the three bells ring together again the next time?",heal/heal,heel/heel, heel/heal, heal/heel,C
"Given below are two statements and four conclusions drawn based on the statements. 
Statement 1 : Some bottles are cups. 
Statement 2 : All cups are knives. 
Conclusion I : Some bottles are knives. 
Conclusion II : Some knives are cups. 
Conclusion III : All cups are bottles. 
Conclusion IV : All knives are cups. 
Which one of the following options can be logically inferred? ",20,140,40,60,A
"The figure below shows the front and rear view of a disc, which is shaded with identical patterns. 
The disc is flipped once with respect to any one of the fixed axes 1-1, 2-2 or 3-3 chosen uniformly at random. 
What is the probability that the disc DOES NOT retain the same front and rear views after the flipping operation?",6:30 PM,5:00 PM,6:00 PM,5:30 PM,B
"Altruism is the human concern for the wellbeing of others. Altruism has been shown to be motivated more by social bonding, familiarity and identification of belongingness to a group. The notion that altruism may be attributed to empathy or guilt has now been rejected. Which one of the following is the CORRECT logical inference based on the information in the above passage?", Only conclusion II and conclusion III are correct,Only conclusion II and conclusion IV are correct,Only conclusion III and conclusion IV are correct, Only conclusion I and conclusion II are correct,D
"There are two identical dice with a single letter on each of the faces. The following six letters : Q, R, S, T, U and V, one on each of the faces. Any of the six outcomes are equally likely. The two dice are thrown once independently at random. What is the probability that the outcomes on the dice were composed only of any combination of the following possible outcomes : Q, U and V?",1,0, 2 /3, 1 /3,C
"The price of an item is 10% cheaper in an online store S compared to the price at another online store M. Store S charges `150 for delivery. There are no delivery charges for orders from the store M. A person bought the item from the store S and saved `100.
 What is the price of the item at the online store S (in `) if there are no other charges than what is described above?",Humans engage in altruism due to guilt but not empathy., Humans engage in altruism due to group identification but not empathy.,Human engage in altruism due to empathy but not guilt.,Human engage in altruism due to empathy but not familiarity.,B
"The letters P, Q, R, S, T and U are to be placed one per vertex on a regular convex hexagon, but not necessarily in the same order. 
Consider the following statements : 
The line segment joining R and S is longer than the line segment joining P and Q. 
 The line segment joining R and S is perpendicular to the line segment joining P and Q. 
The line segment joining R and U is parallel to the line segment joining T and Q. 
Based on the above statements, which one of the following options is CORRECT?",1-Jun,3-Apr,May-36, 1 /4,D
"An ant is at the bottom-left corner of a grid (point P) as shown above. It aims to move to the top right corner of the grid. 
The ant moves only along the lines marked in the grid such that the current distance to the top-right corner strictly decreases. Which one of the following is a part of a possible trajectory of the ant during the movement?",1500,2500,1750,2250,D
